current_time:2018-05-20 13:00:11
batchsize:100,epochs:800,rate:0.01X:5,Y:1,per_time:10
epochs:0,train_loss:0.018375112495,validation_loss:0.014196827471
epochs:1,train_loss:0.012801253506,validation_loss:0.0139340218636
epochs:2,train_loss:0.0148998216087,validation_loss:0.0136586260495
epochs:3,train_loss:0.0183630468249,validation_loss:0.0133679503234
epochs:4,train_loss:0.0245264635131,validation_loss:0.0130614504384
epochs:5,train_loss:0.022514451568,validation_loss:0.0127817573173
epochs:6,train_loss:0.0167493226539,validation_loss:0.0125240461027
epochs:7,train_loss:0.0090837949494,validation_loss:0.0123222949135
epochs:8,train_loss:0.016740411962,validation_loss:0.0120847499422
epochs:9,train_loss:0.0127724403018,validation_loss:0.0118728985034
epochs:10,train_loss:0.0102824535086,validation_loss:0.0116680429142
epochs:11,train_loss:0.0125418597904,validation_loss:0.011458406752
epochs:12,train_loss:0.0158354091001,validation_loss:0.0112469223467
epochs:13,train_loss:0.0069175197047,validation_loss:0.0110801599207
epochs:14,train_loss:0.0131492177652,validation_loss:0.0108790352511
epochs:15,train_loss:0.0186162037604,validation_loss:0.0106834129369
epochs:16,train_loss:0.0169631407772,validation_loss:0.0104818204791
epochs:17,train_loss:0.0097732623388,validation_loss:0.0103075756456
epochs:18,train_loss:0.00879240659267,validation_loss:0.0101499957125
epochs:19,train_loss:0.0124903807426,validation_loss:0.00996521624512
epochs:20,train_loss:0.0129055091358,validation_loss:0.00979385895824
epochs:21,train_loss:0.013073288042,validation_loss:0.00963491346946
epochs:22,train_loss:0.0129120917409,validation_loss:0.0094741121484
epochs:23,train_loss:0.0130797337036,validation_loss:0.00931885010036
epochs:24,train_loss:0.0113264622662,validation_loss:0.00916482382294
epochs:25,train_loss:0.00968800699419,validation_loss:0.00902634080173
epochs:26,train_loss:0.0148783952048,validation_loss:0.0088761524051
epochs:27,train_loss:0.0125947118896,validation_loss:0.00873008965632
epochs:28,train_loss:0.00676730221356,validation_loss:0.00861649750972
epochs:29,train_loss:0.0120313143223,validation_loss:0.00847800096307
epochs:30,train_loss:0.0152295167722,validation_loss:0.00832546526116
epochs:31,train_loss:0.0141000144243,validation_loss:0.00817632602488
epochs:32,train_loss:0.0136080899943,validation_loss:0.00804864457672
epochs:33,train_loss:0.0172190184188,validation_loss:0.00790424581778
epochs:34,train_loss:0.006406211618,validation_loss:0.00780317596698
epochs:35,train_loss:0.00609758468293,validation_loss:0.00771131339799
