current_time:2018-05-20 13:01:49
batchsize:24,epochs:800,rate:0.02X:5,Y:1,per_time:10
epochs:96,train_loss:0.0125183672106,validation_loss:0.00777140039699
epochs:97,train_loss:0.00452930442999,validation_loss:0.00772675737108
epochs:98,train_loss:0.0355209247661,validation_loss:0.00760261077076
epochs:99,train_loss:0.00254227198956,validation_loss:0.00761559574975
epochs:100,train_loss:0.00507317162809,validation_loss:0.00757913365687
epochs:101,train_loss:0.0021262237017,validation_loss:0.00757368192571
epochs:102,train_loss:0.00224543592301,validation_loss:0.00755910395061
epochs:103,train_loss:0.0349619395586,validation_loss:0.00747749680337
epochs:104,train_loss:0.0125687523603,validation_loss:0.00742890646254
epochs:105,train_loss:0.00657361654235,validation_loss:0.00741026274489
epochs:106,train_loss:0.00136508630377,validation_loss:0.00741367368342
epochs:107,train_loss:0.00180352748513,validation_loss:0.00740135109657
epochs:108,train_loss:0.00793644306211,validation_loss:0.00735985617839
epochs:109,train_loss:0.00456330517256,validation_loss:0.00733365980819
epochs:110,train_loss:0.0152175891764,validation_loss:0.00728334850363
epochs:111,train_loss:0.00368256277855,validation_loss:0.00726837503998
epochs:112,train_loss:0.0434064869006,validation_loss:0.00720151733809
epochs:113,train_loss:0.00553893541658,validation_loss:0.00719689699749
epochs:114,train_loss:0.006997473306,validation_loss:0.0071840294528
epochs:115,train_loss:0.00848185486838,validation_loss:0.00717912079935
epochs:116,train_loss:0.0141334959273,validation_loss:0.00714577039004
epochs:117,train_loss:0.00290607766991,validation_loss:0.00714655680709
epochs:118,train_loss:0.0302830940806,validation_loss:0.00709934195645
epochs:119,train_loss:0.005755796897,validation_loss:0.00709439565276
epochs:120,train_loss:0.0137594973344,validation_loss:0.00706093143591
epochs:121,train_loss:0.0260501163268,validation_loss:0.00702425069843
epochs:122,train_loss:0.00291482137483,validation_loss:0.00701988394399
epochs:123,train_loss:0.0140561587032,validation_loss:0.00700983939523
epochs:124,train_loss:0.00278060701524,validation_loss:0.00700857848501
epochs:125,train_loss:0.0139188656059,validation_loss:0.00698590402767
epochs:126,train_loss:0.00822943215524,validation_loss:0.00697895007592
epochs:127,train_loss:0.0262605732998,validation_loss:0.00696302297546
epochs:128,train_loss:0.00629110482239,validation_loss:0.00695269309375
epochs:129,train_loss:0.0282579026397,validation_loss:0.00693248006534
epochs:130,train_loss:0.00547013590258,validation_loss:0.00693161163902
epochs:131,train_loss:0.00464442228454,validation_loss:0.00692528891343
epochs:132,train_loss:0.0269928247255,validation_loss:0.00690866511809
epochs:133,train_loss:0.00431603862202,validation_loss:0.00690193857485
epochs:134,train_loss:0.0231011277352,validation_loss:0.00688935914541
epochs:135,train_loss:0.00619615309311,validation_loss:0.00688079149612
epochs:136,train_loss:0.00298594379846,validation_loss:0.00688525881008
epochs:137,train_loss:0.00734605972898,validation_loss:0.0068840122975
epochs:138,train_loss:0.0136780767207,validation_loss:0.00687607939534
epochs:139,train_loss:0.00415096570697,validation_loss:0.00687934192814
epochs:140,train_loss:0.00298463284206,validation_loss:0.00688260831269
epochs:141,train_loss:0.00339619831831,validation_loss:0.00688622817903
epochs:142,train_loss:0.00178848339132,validation_loss:0.00688776330229
epochs:143,train_loss:0.0223527309217,validation_loss:0.00685968963092
epochs:144,train_loss:0.00606238467,validation_loss:0.00685486715979
