入库时间,站点编号,站点名称,平面坐标系X,平面坐标系y,观测时间,当前雨量开始时间,当前雨量结束时间,当前雨量(毫米),近1小时雨量开始时间,近1小时雨量结束时间,近1小时雨量(毫米),近3小时雨量开始时间,近3小时雨量结束时间,近3小时雨量(毫米)
2017/6/1 12:00:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 11:50:00,2017/6/1 11:00:00,2017/6/1 11:50:00,0,2017/6/1 10:50:00,2017/6/1 11:50:00,0,2017/6/1 8:50:00,2017/6/1 11:50:00,0
2017/6/1 12:10:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:00:00,2017/6/1 11:00:00,2017/6/1 12:00:00,0,2017/6/1 11:00:00,2017/6/1 12:00:00,0,2017/6/1 9:00:00,2017/6/1 12:00:00,0
2017/6/1 12:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:10:00,2017/6/1 12:00:00,2017/6/1 12:10:00,0,2017/6/1 11:10:00,2017/6/1 12:10:00,0,2017/6/1 9:10:00,2017/6/1 12:10:00,0
2017/6/1 12:30:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:20:00,2017/6/1 12:00:00,2017/6/1 12:20:00,0,2017/6/1 11:20:00,2017/6/1 12:20:00,0,2017/6/1 9:20:00,2017/6/1 12:20:00,0
2017/6/1 12:40:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:30:00,2017/6/1 12:00:00,2017/6/1 12:30:00,0,2017/6/1 11:30:00,2017/6/1 12:30:00,0,2017/6/1 9:30:00,2017/6/1 12:30:00,0
2017/6/1 12:50:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:40:00,2017/6/1 12:00:00,2017/6/1 12:40:00,0,2017/6/1 11:40:00,2017/6/1 12:40:00,0,2017/6/1 9:40:00,2017/6/1 12:40:00,0
2017/6/1 13:00:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:50:00,2017/6/1 12:00:00,2017/6/1 12:50:00,0,2017/6/1 11:50:00,2017/6/1 12:50:00,0,2017/6/1 9:50:00,2017/6/1 12:50:00,0
2017/6/1 13:10:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:00:00,2017/6/1 12:00:00,2017/6/1 13:00:00,0,2017/6/1 12:00:00,2017/6/1 13:00:00,0,2017/6/1 10:00:00,2017/6/1 13:00:00,0
2017/6/1 13:20:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:10:00,2017/6/1 13:00:00,2017/6/1 13:10:00,0,2017/6/1 12:10:00,2017/6/1 13:10:00,0,2017/6/1 10:10:00,2017/6/1 13:10:00,0
2017/6/1 13:30:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:20:00,2017/6/1 13:00:00,2017/6/1 13:20:00,0,2017/6/1 12:20:00,2017/6/1 13:20:00,0,2017/6/1 10:20:00,2017/6/1 13:20:00,0
2017/6/1 13:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:30:00,2017/6/1 13:00:00,2017/6/1 13:30:00,0,2017/6/1 12:30:00,2017/6/1 13:30:00,0,2017/6/1 10:30:00,2017/6/1 13:30:00,0
2017/6/1 13:50:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:40:00,2017/6/1 13:00:00,2017/6/1 13:40:00,0,2017/6/1 12:40:00,2017/6/1 13:40:00,0,2017/6/1 10:40:00,2017/6/1 13:40:00,0
2017/6/1 14:00:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:40:00,2017/6/1 13:00:00,2017/6/1 13:40:00,0,2017/6/1 12:40:00,2017/6/1 13:40:00,0,2017/6/1 10:40:00,2017/6/1 13:40:00,0
2017/6/1 14:10:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:40:00,2017/6/1 13:00:00,2017/6/1 13:40:00,0,2017/6/1 12:40:00,2017/6/1 13:40:00,0,2017/6/1 10:40:00,2017/6/1 13:40:00,0
2017/6/1 14:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 14:00:00,2017/6/1 13:00:00,2017/6/1 14:00:00,0,2017/6/1 13:00:00,2017/6/1 14:00:00,0,2017/6/1 11:00:00,2017/6/1 14:00:00,0
2017/6/1 14:30:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 14:20:00,2017/6/1 14:00:00,2017/6/1 14:20:00,0,2017/6/1 13:20:00,2017/6/1 14:20:00,0,2017/6/1 11:20:00,2017/6/1 14:20:00,0
2017/6/1 14:40:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 14:20:00,2017/6/1 14:00:00,2017/6/1 14:20:00,0,2017/6/1 13:20:00,2017/6/1 14:20:00,0,2017/6/1 11:20:00,2017/6/1 14:20:00,0
2017/6/1 14:50:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 14:30:00,2017/6/1 14:00:00,2017/6/1 14:30:00,0,2017/6/1 13:30:00,2017/6/1 14:30:00,0,2017/6/1 11:30:00,2017/6/1 14:30:00,0
2017/6/1 15:00:15,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 14:40:00,2017/6/1 14:00:00,2017/6/1 14:40:00,0,2017/6/1 13:40:00,2017/6/1 14:40:00,0,2017/6/1 11:40:00,2017/6/1 14:40:00,0
2017/6/1 15:20:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 15:10:00,2017/6/1 15:00:00,2017/6/1 15:10:00,0,2017/6/1 14:10:00,2017/6/1 15:10:00,0,2017/6/1 12:10:00,2017/6/1 15:10:00,0
2017/6/1 15:30:11,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 15:10:00,2017/6/1 15:00:00,2017/6/1 15:10:00,0,2017/6/1 14:10:00,2017/6/1 15:10:00,0,2017/6/1 12:10:00,2017/6/1 15:10:00,0
2017/6/1 15:40:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 15:10:00,2017/6/1 15:00:00,2017/6/1 15:10:00,0,2017/6/1 14:10:00,2017/6/1 15:10:00,0,2017/6/1 12:10:00,2017/6/1 15:10:00,0
2017/6/1 15:50:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 15:30:00,2017/6/1 15:00:00,2017/6/1 15:30:00,0,2017/6/1 14:30:00,2017/6/1 15:30:00,0,2017/6/1 12:30:00,2017/6/1 15:30:00,0
2017/6/1 16:00:13,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 15:40:00,2017/6/1 15:00:00,2017/6/1 15:40:00,0,2017/6/1 14:40:00,2017/6/1 15:40:00,0,2017/6/1 12:40:00,2017/6/1 15:40:00,0
2017/6/1 16:10:13,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 15:50:00,2017/6/1 15:00:00,2017/6/1 15:50:00,0,2017/6/1 14:50:00,2017/6/1 15:50:00,0,2017/6/1 12:50:00,2017/6/1 15:50:00,0
2017/6/1 16:20:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 16:10:00,2017/6/1 16:00:00,2017/6/1 16:10:00,0,2017/6/1 15:10:00,2017/6/1 16:10:00,0,2017/6/1 13:10:00,2017/6/1 16:10:00,0
2017/6/1 16:30:11,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 16:10:00,2017/6/1 16:00:00,2017/6/1 16:10:00,0,2017/6/1 15:10:00,2017/6/1 16:10:00,0,2017/6/1 13:10:00,2017/6/1 16:10:00,0
2017/6/1 16:40:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 16:30:00,2017/6/1 16:00:00,2017/6/1 16:30:00,0,2017/6/1 15:30:00,2017/6/1 16:30:00,0,2017/6/1 13:30:00,2017/6/1 16:30:00,0
2017/6/1 17:10:11,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 16:50:00,2017/6/1 16:00:00,2017/6/1 16:50:00,0,2017/6/1 15:50:00,2017/6/1 16:50:00,0,2017/6/1 13:50:00,2017/6/1 16:50:00,0
2017/6/1 17:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 17:10:00,2017/6/1 17:00:00,2017/6/1 17:10:00,0,2017/6/1 16:10:00,2017/6/1 17:10:00,0,2017/6/1 14:10:00,2017/6/1 17:10:00,0
2017/6/1 17:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 17:20:00,2017/6/1 17:00:00,2017/6/1 17:20:00,0,2017/6/1 16:20:00,2017/6/1 17:20:00,0,2017/6/1 14:20:00,2017/6/1 17:20:00,0
2017/6/1 17:50:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 17:30:00,2017/6/1 17:00:00,2017/6/1 17:30:00,0,2017/6/1 16:30:00,2017/6/1 17:30:00,0,2017/6/1 14:30:00,2017/6/1 17:30:00,0
2017/6/1 18:00:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 17:40:00,2017/6/1 17:00:00,2017/6/1 17:40:00,0,2017/6/1 16:40:00,2017/6/1 17:40:00,0,2017/6/1 14:40:00,2017/6/1 17:40:00,0
2017/6/1 18:10:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 17:50:00,2017/6/1 17:00:00,2017/6/1 17:50:00,0,2017/6/1 16:50:00,2017/6/1 17:50:00,0,2017/6/1 14:50:00,2017/6/1 17:50:00,0
2017/6/1 18:20:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 17:50:00,2017/6/1 17:00:00,2017/6/1 17:50:00,0,2017/6/1 16:50:00,2017/6/1 17:50:00,0,2017/6/1 14:50:00,2017/6/1 17:50:00,0
2017/6/1 18:30:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 18:20:00,2017/6/1 18:00:00,2017/6/1 18:20:00,0,2017/6/1 17:20:00,2017/6/1 18:20:00,0,2017/6/1 15:20:00,2017/6/1 18:20:00,0
2017/6/1 18:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 18:20:00,2017/6/1 18:00:00,2017/6/1 18:20:00,0,2017/6/1 17:20:00,2017/6/1 18:20:00,0,2017/6/1 15:20:00,2017/6/1 18:20:00,0
2017/6/1 18:50:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 18:40:00,2017/6/1 18:00:00,2017/6/1 18:40:00,0,2017/6/1 17:40:00,2017/6/1 18:40:00,0,2017/6/1 15:40:00,2017/6/1 18:40:00,0
2017/6/1 19:00:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 18:50:00,2017/6/1 18:00:00,2017/6/1 18:50:00,0,2017/6/1 17:50:00,2017/6/1 18:50:00,0,2017/6/1 15:50:00,2017/6/1 18:50:00,0
2017/6/1 19:10:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 18:50:00,2017/6/1 18:00:00,2017/6/1 18:50:00,0,2017/6/1 17:50:00,2017/6/1 18:50:00,0,2017/6/1 15:50:00,2017/6/1 18:50:00,0
2017/6/1 19:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 19:10:00,2017/6/1 19:00:00,2017/6/1 19:10:00,0,2017/6/1 18:10:00,2017/6/1 19:10:00,0,2017/6/1 16:10:00,2017/6/1 19:10:00,0
2017/6/1 19:30:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 19:20:00,2017/6/1 19:00:00,2017/6/1 19:20:00,0,2017/6/1 18:20:00,2017/6/1 19:20:00,0,2017/6/1 16:20:00,2017/6/1 19:20:00,0
2017/6/1 19:40:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 19:30:00,2017/6/1 19:00:00,2017/6/1 19:30:00,0,2017/6/1 18:30:00,2017/6/1 19:30:00,0,2017/6/1 16:30:00,2017/6/1 19:30:00,0
2017/6/1 19:50:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 19:40:00,2017/6/1 19:00:00,2017/6/1 19:40:00,0,2017/6/1 18:40:00,2017/6/1 19:40:00,0,2017/6/1 16:40:00,2017/6/1 19:40:00,0
2017/6/1 2:00:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 1:50:00,2017/6/1 1:00:00,2017/6/1 1:50:00,0,2017/6/1 0:50:00,2017/6/1 1:50:00,0,2017/5/31 22:50:00,2017/6/1 1:50:00,0
